category,sample_size,sentiment_vader
Personal opinion,100,0.10214466666666668
Personal opinion,250,0.07962202666666666
Personal opinion,500,0.08308447586022939
Short film,100,0.2056318666666667
Short film,250,0.20411706666666665
Short film,500,0.20620591218470571
TED-style,100,0.1567198
TED-style,250,0.16894984000000002
TED-style,500,0.15751009589041096
