category,sent_raw,sent_basic,sent_aggressive
Personal opinion,0.08308447586022939,0.0772497465990931,0.08963192851427047
Short film,0.20620591218470571,0.20396331242492993,0.20777608434538902
TED-style,0.15751009589041096,0.15480312328767123,0.1664566301369863
