category,diff_basic_minus_raw,diff_aggressive_minus_raw
Personal opinion,0.00020082688716991192,-0.0059122432648706326
Short film,-0.0005961964500200185,-0.0018107300146803684
TED-style,-0.00043426027397260275,-0.002448438356164384
